minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,15.29,34.95,13.43,22.97,27.59
1.5,7.25,58.65,1.88,13.35,13.79
2.0,2.02,38.35,1.9,9.78,9.66
2.5,2.03,31.39,1.9,1.87,2.01
3.0,2.06,20.57,1.93,1.88,1.94
3.5,2.07,13.35,1.98,1.95,1.93
4.0,2.05,13.38,2.09,2.03,1.95
4.5,2.26,12.81,2.2,2.15,1.97
5.0,2.23,2.02,2.17,2.11,2.0
5.5,2.22,2.0,2.06,2.07,2.04
6.0,2.22,2.02,1.97,4.04,2.05
6.5,2.01,2.0,1.92,4.03,2.04
7.0,2.06,1.97,2.41,1.97,1.99
7.5,2.08,1.94,2.56,1.94,1.95
8.0,2.2,1.97,2.55,1.94,1.97
8.5,2.17,1.98,2.54,2.08,1.97
9.0,2.2,2.02,1.92,2.06,1.97
9.5,2.09,2.0,1.92,2.08,1.95
10.0,2.08,1.97,1.92,1.94,1.94
10.5,27.0,31.07,1.92,1.97,1.96
11.0,29.2,31.13,1.92,1.98,1.98
11.5,46.58,31.13,1.93,1.94,1.98
12.0,57.82,15.12,1.93,1.93,1.97
12.5,39.77,2.06,1.92,1.91,2.01
13.0,39.06,1.96,1.93,1.97,2.02
13.5,7.27,1.96,1.92,2.02,2.0
14.0,7.25,1.96,1.92,2.12,1.98
14.5,2.11,1.95,1.91,2.12,1.96
15.0,2.02,1.97,1.89,2.08,1.96
15.5,2.02,1.95,2.04,2.04,1.98
16.0,2.04,1.96,2.06,1.95,2.0
16.5,2.03,1.97,2.07,1.94,1.97
17.0,1.99,1.94,1.95,1.96,1.96
17.5,2.09,1.95,1.91,1.95,1.91
18.0,2.07,1.98,1.93,1.91,1.92
18.5,2.4,2.02,1.93,1.91,1.93
19.0,2.42,2.12,1.95,1.91,1.93
19.5,2.33,2.14,1.94,1.92,1.95
20.0,2.03,2.16,1.92,1.94,1.96
20.5,2.62,2.18,1.91,1.94,2.34
21.0,2.63,2.11,1.93,1.94,2.33
21.5,2.64,2.09,1.94,1.95,2.33
22.0,2.64,2.55,1.97,1.94,1.96
22.5,2.04,2.53,1.96,1.95,1.95
23.0,2.02,2.52,1.96,1.95,1.97
23.5,2.03,2.51,1.97,1.98,1.98
24.0,2.06,1.97,1.96,1.99,1.99
24.5,2.08,1.98,1.95,1.99,1.97
25.0,2.09,2.01,1.94,1.97,1.95
25.5,2.06,2.0,1.97,1.97,1.93
26.0,2.06,1.99,2.0,2.45,1.92
26.5,2.06,2.01,2.06,2.43,1.94
27.0,2.06,2.0,2.02,2.43,1.94
27.5,2.06,2.0,2.02,2.42,1.99
28.0,2.06,2.0,2.02,2.42,1.99
28.5,2.06,2.0,2.02,2.42,1.99
29.0,2.06,2.0,2.02,2.42,1.99
29.5,2.06,2.0,2.02,2.42,1.99
30.0,2.06,2.0,2.02,2.42,1.99
