algorithm,pod,pod_short,total_seconds,total_minutes,algorithm_total_seconds,share_percent
RR,podinfo-5bfbdcc5f9-84sd6,84sd6,1026.0,17.1,2076.0,49.421965317919074
RR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,204.0,3.4,2076.0,9.826589595375722
RR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,846.0,14.1,2076.0,40.7514450867052
WRR,podinfo-5bfbdcc5f9-84sd6,84sd6,936.0,15.6,2162.4,43.28523862375139
WRR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,224.4,3.74,2162.4,10.377358490566039
WRR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,1002.0,16.7,2162.4,46.33740288568257
LC,podinfo-5bfbdcc5f9-84sd6,84sd6,231.6,3.86,648.0,35.74074074074074
LC,podinfo-5bfbdcc5f9-t5wjm,t5wjm,196.79999999999998,3.28,648.0,30.37037037037037
LC,podinfo-5bfbdcc5f9-wj2rv,wj2rv,219.60000000000002,3.6600000000000006,648.0,33.88888888888889
SED,podinfo-5bfbdcc5f9-84sd6,84sd6,316.8,5.28,774.0,40.93023255813954
SED,podinfo-5bfbdcc5f9-t5wjm,t5wjm,151.79999999999998,2.53,774.0,19.612403100775193
SED,podinfo-5bfbdcc5f9-wj2rv,wj2rv,305.4,5.09,774.0,39.45736434108527
NQ,podinfo-5bfbdcc5f9-84sd6,84sd6,309.6,5.16,742.2,41.71382376717866
NQ,podinfo-5bfbdcc5f9-t5wjm,t5wjm,154.8,2.58,742.2,20.85691188358933
NQ,podinfo-5bfbdcc5f9-wj2rv,wj2rv,277.8,4.63,742.2,37.429264349232014
